reference;periode;type_document;parties;description_contenu;depose_par;date_depot;date_execution;criticite;montant;droit_ubi_paye;statut;source_registre
CO-II-442-004;archives;Contrat commercial;Sfaal ↔ Palyr;Vente de cerises précoces, raisins de serre et herbes fraîches;;442-V-04;442-IX-19;II;10'150 couronnes;203 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-442-001;archives;Contrat d'exclusivité;Sfaal ↔ Il-Irion;Exclusivité de fourniture de lanternes de quai;;442-VI-05;442-X-24;I;9'550 couronnes;191 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-442-002;archives;Contrat de service;Ther-Félis ↔ Il-Irion;Rédaction de contrats de vente pour marchands étrangers;;442-IX-11;442-X-05;I;2'350 couronnes;47 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-442-006;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la neuvième régate;;442-XII-01;442-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
EC-III-443-004;archives;Contrat d'exclusivité;Il-Irion ↔ Ther-Félis;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;443-III-18;443-VI-23;III;9'950 couronnes;199 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-443-006;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat EC-III-443-004 : alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;443-III-18;443-VI-23;III;4'975 couronnes;199 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-443-003;archives;Contrat commercial;Ther-Félis ↔ Palyr;Vente de cuirasses légères, casques rivetés et brassards de garde;;443-VII-09;443-VIII-25;II;10'400 couronnes;208 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-443-005;archives;Contrat d'exclusivité;Sfaal ↔ Il-Irion;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;443-IX-24;443-XI-18;III;8'900 couronnes;178 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-443-001;archives;Contrat commercial;Arthas ↔ Ther-Félis;Achat de poissons salés, huile de lampe et jarres de graisse;;443-XI-16;443-XII-11;I;2'750 couronnes;55 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-III-444-001;archives;Contrat de protection;Palyr ↔ Il-Irion;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;444-V-10;444-VI-28;III;7'350 couronnes;147 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-445-005;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;445-I-05;445-III-21;III;6'100 couronnes;122 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-445-003;archives;Contrat d'exploitation;Sfaal ↔ Ther-Félis;Extraction de sable lavé sur banc de rivière;;445-V-07;445-VIII-15;I;4'750 couronnes;95 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-445-002;archives;Contrat de service;Il-Irion ↔ Arthas;Mise en ordre d'archives notariales et reliure de liasses;;445-VIII-08;445-IX-06;I;4'800 couronnes;96 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-445-006;archives;Contrat commercial;Ther-Félis ↔ Palyr;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;445-IX-29;445-XII-12;III;7'300 couronnes;146 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-445-007;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat CO-III-445-006 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;445-IX-29;445-XII-12;III;3'650 couronnes;146 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-445-004;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Achat de tapis épais, tentures brodées et coussins de réception;;445-XII-17;445-XII-08;II;10'850 couronnes;217 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-446-003;archives;Contrat commercial;Ther-Félis ↔ Arthas;Achat de cuivre martelé, gouttières fines et clous d'ornement;;446-II-22;446-V-14;II;11'100 couronnes;222 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-446-002;archives;Contrat d'exclusivité;Ther-Félis ↔ Sfaal;Priorité sur peaux tannées pour équipements de garde;;446-VII-12;446-XI-21;I;5'200 couronnes;104 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-446-004;archives;Contrat de dette;Il-Irion ↔ Sfaal;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;446-X-05;447-I-05;III;7'250 couronnes;145 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-447-001;archives;Contrat de dette;Palyr ↔ Il-Irion;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;447-VI-17;447-VII-17;III;7'950 couronnes;159 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-447-002;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la dixième régate;;447-XII-01;447-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
EC-I-448-001;archives;Contrat d'exclusivité;Sfaal ↔ Ther-Félis;Priorité d'achat sur fer doux pour ateliers de serrures;;448-IV-25;448-VIII-26;I;6'450 couronnes;129 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-III-448-005;archives;Contrat de service;Sfaal ↔ Arthas;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;448-VI-24;448-VIII-06;III;7'400 couronnes;148 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-448-004;archives;Contrat commercial;Sfaal ↔ Arthas;Achat de soies teintes, brocarts d'or pâle et velours bleu de cérémonie;;448-VII-04;448-XI-23;II;11'600 couronnes;232 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-448-003;archives;Contrat commercial;Il-Irion ↔ Arthas;Vente de vin de table, vinaigre et tonnelets de lies;;448-XII-20;448-XII-04;I;6'050 couronnes;121 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-449-002;archives;Contrat de service;Palyr ↔ Ther-Félis;Rédaction de contrats de vente pour marchands étrangers;;449-II-25;449-IV-10;I;6'450 couronnes;129 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-449-004;archives;Contrat d'exclusivité;Ther-Félis ↔ Arthas;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;449-VII-13;449-X-10;III;7'600 couronnes;152 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-449-005;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat EC-III-449-004 : exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;449-VII-13;449-X-10;III;3'800 couronnes;152 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-449-003;archives;Contrat commercial;Arthas ↔ Il-Irion;Achat de fruits fragiles, poires d'hiver, figues violettes et paniers de pêches;;449-IX-09;449-X-03;II;11'850 couronnes;237 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-450-002;archives;Contrat commercial;Arthas ↔ Sfaal;Fourniture de peaux tannées, graisse de cuir et lacets d'attache;;450-III-22;450-VII-01;I;9'050 couronnes;181 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-450-003;archives;Contrat commercial;Sfaal ↔ Ther-Félis;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;450-X-01;450-XII-03;III;8'900 couronnes;178 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-450-004;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat CO-III-450-003 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;450-X-01;450-XII-03;III;4'450 couronnes;178 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-I-450-001;archives;Contrat commercial;Palyr ↔ Sfaal;Achat de cuivre rouge, rivets et plaques de chaudière;;450-XII-16;450-XII-20;I;8'250 couronnes;165 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-451-003;archives;Contrat commercial;Sfaal ↔ Arthas;Vente de bois de cèdre, panneaux parfumés et coffrets bruts;;451-I-16;451-III-11;II;12'200 couronnes;244 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-451-004;archives;Contrat d'exclusivité;Sfaal ↔ Ther-Félis;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;451-IV-17;451-VII-15;III;6'650 couronnes;133 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-451-005;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat EC-III-451-004 : exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;451-IV-17;451-VII-15;III;3'325 couronnes;133 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-I-451-002;archives;Contrat de protection;Arthas ↔ Ther-Félis;Garde de greniers pendant un litige de livraison;;451-VI-06;451-IX-18;I;7'100 couronnes;142 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-452-003;archives;Contrat commercial;Arthas ↔ Sfaal;Achat de chevaux rapides pour relais de messagers;;452-IV-22;452-VII-18;II;12'550 couronnes;251 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-452-004;archives;Contrat commercial;Il-Irion ↔ Palyr;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;452-V-17;452-VII-01;III;8'350 couronnes;167 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-452-001;archives;Contrat de protection;Ther-Félis ↔ Il-Irion;Garde de chantier naval pendant pose de pièces importées;;452-VIII-07;452-X-14;I;2'050 couronnes;41 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-452-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la onzième régate;;452-XII-01;452-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
EC-I-453-002;archives;Contrat d'exclusivité;Palyr ↔ Il-Irion;Exclusivité de fourniture de tonnelets pour caves;;453-II-19;453-VI-02;I;3'500 couronnes;70 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-453-003;archives;Contrat d'exclusivité;Ther-Félis ↔ Il-Irion;Alliance industrielle sur la fabrication de serrures à double empreinte et coffres de transit;;453-XII-27;454-II-17;III;9'900 couronnes;198 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-454-002;archives;Contrat d'exclusivité;Arthas ↔ Il-Irion;Priorité d'achat sur grains d'orge après récolte;;454-I-19;454-II-07;I;8'400 couronnes;168 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-454-004;archives;Contrat commercial;Palyr ↔ Sfaal;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;454-II-10;454-III-17;III;6'800 couronnes;136 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-454-003;archives;Contrat commercial;Palyr ↔ Il-Irion;Vente de cuirasses légères, casques rivetés et brassards de garde;;454-VIII-03;454-XII-26;II;12'900 couronnes;258 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-455-002;archives;Contrat commercial;Sfaal ↔ Il-Irion;Achat de fer doux, clous longs et bandes de cerclage;;455-IV-25;455-VI-14;I;9'000 couronnes;180 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-455-004;archives;Contrat d'exclusivité;Il-Irion ↔ Palyr;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;455-V-16;455-VIII-24;III;9'050 couronnes;181 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-455-001;archives;Contrat commercial;Il-Irion ↔ Arthas;Vente de vin de table, vinaigre et tonnelets de lies;;455-VII-04;455-IX-15;I;4'500 couronnes;90 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-455-003;archives;Contrat commercial;Arthas ↔ Palyr;Fourniture de tuiles vernissées, ferrures de portail et plomb de toiture;;455-XI-09;455-XII-07;II;10'250 couronnes;205 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-455-005;archives;Contrat d'exclusivité;Arthas ↔ Ther-Félis;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;455-XII-05;456-II-28;III;7'500 couronnes;150 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-455-006;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat EC-III-455-005 : exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;455-XII-05;456-II-28;III;3'750 couronnes;150 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-I-456-002;archives;Contrat commercial;Arthas ↔ Ther-Félis;Vente de sel gris, saumure et jarres de conservation;;456-I-16;456-V-03;I;5'900 couronnes;118 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-456-003;archives;Contrat commercial;Arthas ↔ Il-Irion;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;456-IX-09;456-XI-29;III;9'250 couronnes;185 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-456-005;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat CO-III-456-003 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;456-IX-09;456-XI-29;III;4'625 couronnes;185 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PB-III-456-006;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat SE-III-456-004 : transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;456-X-09;457-I-29;III;4'950 couronnes;198 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-456-004;archives;Contrat de service;Arthas ↔ Ther-Félis;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;456-X-09;457-I-29;III;9'900 couronnes;198 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-457-004;archives;Contrat commercial;Arthas ↔ Ther-Félis;Fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;457-II-18;457-V-12;III;9'850 couronnes;197 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-457-005;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat CO-III-457-004 : fourniture confidentielle de cristaux de veille, poudres de fixation et encres de sceau;;457-II-18;457-V-12;III;4'925 couronnes;197 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-457-003;archives;Contrat commercial;Palyr ↔ Sfaal;Achat de cuivre martelé, gouttières fines et clous d'ornement;;457-III-16;457-V-15;II;10'600 couronnes;212 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-457-002;archives;Contrat de service;Ther-Félis ↔ Sfaal;Tri de ballots saisis et rédaction des listes de restitution;;457-VIII-06;457-XI-22;I;9'700 couronnes;194 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-457-006;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la douzième régate;;457-XII-01;457-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
PR-I-458-001;archives;Contrat de protection;Ther-Félis ↔ Palyr;Protection de témoins commerciaux avant arbitrage;;458-VI-01;458-VIII-16;I;6'950 couronnes;139 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-458-004;archives;Contrat commercial;Il-Irion ↔ Sfaal;Fourniture de minerai de fer noir, hématite rouge et sacs de charbon de forge;;458-VII-23;458-X-23;II;11'050 couronnes;221 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-458-002;archives;Contrat d'exploitation;Il-Irion ↔ Ther-Félis;Cueillette de résine et d'écorce à tan;;458-IX-07;458-XII-23;I;7'750 couronnes;155 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-458-006;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat SE-III-458-005 : transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;458-XII-12;459-I-03;III;3'800 couronnes;152 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-III-458-005;archives;Contrat de service;Sfaal ↔ Arthas;Transport discret de liasses de dette, matrices de sceaux et reçus parallèles;;458-XII-12;459-I-03;III;7'600 couronnes;152 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-III-459-004;archives;Contrat d'exploitation;Palyr ↔ Il-Irion;Exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;459-II-13;459-V-21;III;7'000 couronnes;140 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-459-003;archives;Contrat commercial;Palyr ↔ Sfaal;Vente de fleurs coupées, bulbes rares et couronnes de serre;;459-IX-02;459-XII-03;II;11'300 couronnes;226 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-459-006;archives;Contrat de prêt bancaire;UBI ↔ Ther-Félis;Prêt bancaire pour avance d'exécution liée au contrat PR-III-459-005 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;459-XI-06;460-II-18;III;3'025 couronnes;121 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-459-005;archives;Contrat de protection;Ther-Félis ↔ Arthas;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;459-XI-06;460-II-18;III;6'050 couronnes;121 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-459-001;archives;Contrat d'exclusivité;Palyr ↔ Sfaal;Exclusivité de transport de pierres de taille;;459-XI-12;459-XII-03;I;8'150 couronnes;163 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-460-002;archives;Contrat de prêt bancaire;UBI ↔ Arthas;Prêt bancaire pour avance d'exécution liée au contrat PR-III-460-001 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;460-IX-14;460-XII-18;III;4'950 couronnes;198 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-460-001;archives;Contrat de protection;Arthas ↔ Ther-Félis;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;460-IX-14;460-XII-18;III;9'900 couronnes;198 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-461-004;archives;Contrat commercial;Il-Irion ↔ Palyr;Fourniture de pierres semi-précieuses, perles d'eau douce et cabochons verts;;461-II-10;461-III-12;II;11'800 couronnes;236 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-461-006;archives;Contrat d'exclusivité;Palyr ↔ Il-Irion;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;461-II-19;461-IV-02;III;9'500 couronnes;190 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-461-001;archives;Contrat commercial;Sfaal ↔ Palyr;Achat de laine brute, fil teint et aiguilles d'atelier;;461-V-24;461-VII-17;I;9'400 couronnes;188 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-461-003;archives;Contrat d'exclusivité;Arthas ↔ Ther-Félis;Priorité sur bois de chêne sec pour coffres;;461-VII-26;461-IX-19;I;3'800 couronnes;76 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-461-002;archives;Contrat commercial;Ther-Félis ↔ Sfaal;Fourniture de serrures, moraillons, clés et plaques de coffre;;461-VIII-04;461-XI-24;I;2'150 couronnes;43 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-461-007;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat PR-III-461-005 : protection de témoins commerciaux avant arbitrage sur cargaison rare;;461-IX-02;461-X-27;III;4'075 couronnes;163 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
PR-III-461-005;archives;Contrat de protection;Sfaal ↔ Arthas;Protection de témoins commerciaux avant arbitrage sur cargaison rare;;461-IX-02;461-X-27;III;8'150 couronnes;163 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-III-462-004;archives;Contrat d'exploitation;Ther-Félis ↔ Sfaal;Exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;462-III-16;462-IV-04;III;9'600 couronnes;192 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-462-003;archives;Contrat commercial;Palyr ↔ Ther-Félis;Fourniture de lances montées, boucliers peints et sangles de réserve;;462-IV-15;462-VI-18;II;12'050 couronnes;241 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-462-001;archives;Contrat commercial;Il-Irion ↔ Sfaal;Achat de poissons salés, huile de lampe et jarres de graisse;;462-X-09;462-XII-04;I;2'600 couronnes;52 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-462-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la treizième régate;;462-XII-01;462-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-III-463-001;archives;Contrat commercial;Sfaal ↔ Palyr;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;463-X-24;464-I-02;III;8'450 couronnes;169 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-463-003;archives;Contrat de prêt bancaire;UBI ↔ Sfaal;Prêt bancaire pour avance d'exécution liée au contrat CO-III-463-001 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;463-X-24;464-I-02;III;4'225 couronnes;169 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
EP-III-463-002;archives;Contrat d'exploitation;Sfaal ↔ Palyr;Exploitation limitée d'une source minérale utilisée pour bains, teintures et préparations magiques;;463-XII-26;464-II-12;III;6'600 couronnes;132 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
SE-I-464-003;archives;Contrat de service;Arthas ↔ Il-Irion;Formation de commis aux poids, mesures et comptes de quai;;464-II-13;464-VI-08;I;5'100 couronnes;102 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PR-I-464-001;archives;Contrat de protection;Arthas ↔ Il-Irion;Escorte de ballots précieux pendant une foire;;464-IV-21;464-VI-18;I;3'800 couronnes;76 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-464-005;archives;Contrat d'exclusivité;Il-Irion ↔ Palyr;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;464-VIII-26;464-X-27;III;8'550 couronnes;171 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-464-006;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat EC-III-464-005 : exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;464-VIII-26;464-X-27;III;4'275 couronnes;171 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
CO-II-464-004;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Achat de lames d'épée, fers de lance, carreaux d'arbalète et pointes trempées;;464-IX-23;464-XII-01;II;12'500 couronnes;250 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
DE-III-465-004;archives;Contrat de dette;Sfaal ↔ Palyr;Prêt garanti pour reconstitution de réserves métalliques après crise de change;;465-II-18;465-V-19;III;8'300 couronnes;166 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-I-465-001;archives;Contrat d'exclusivité;Palyr ↔ Arthas;Priorité d'achat sur grains d'orge après récolte;;465-IX-06;465-XII-05;I;5'000 couronnes;100 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-465-003;archives;Contrat commercial;Palyr ↔ Arthas;Vente de miel clair, épices entières, fruits confits et sucre de pain;;465-XI-02;465-XII-07;II;12'750 couronnes;255 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-III-466-002;archives;Contrat commercial;Il-Irion ↔ Sfaal;Achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;466-VII-01;466-X-28;III;9'950 couronnes;199 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PB-III-466-003;archives;Contrat de prêt bancaire;UBI ↔ Il-Irion;Prêt bancaire pour avance d'exécution liée au contrat CO-III-466-002 : achat de reliquaires techniques, lentilles gravées et plaques d'argent à usage d'atelier;;466-VII-01;466-X-28;III;4'975 couronnes;199 couronnes;Exécuté, remboursé, classé;registre_UBI_Contrats_archives.md
SE-I-466-001;archives;Contrat de service;Arthas ↔ Ther-Félis;Transport administratif de liasses scellées entre comptoirs;;466-XII-12;466-XII-12;I;5'650 couronnes;113 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-II-467-003;archives;Contrat commercial;Il-Irion ↔ Ther-Félis;Fourniture de plantes médicinales fraîches, racines rares et fleurs de serre;;467-III-09;467-IV-15;II;10'100 couronnes;202 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
CO-I-467-001;archives;Contrat commercial;Ther-Félis ↔ Palyr;Achat de laine brute, fil teint et aiguilles d'atelier;;467-V-23;467-VIII-25;I;6'850 couronnes;137 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EP-I-467-002;archives;Contrat d'exploitation;Ther-Félis ↔ Il-Irion;Exploitation de source minérale pour bains et teintures;;467-VIII-25;467-X-22;I;6'150 couronnes;123 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
EC-III-467-004;archives;Contrat d'exclusivité;Il-Irion ↔ Arthas;Exclusivité industrielle sur filtres de distillation, sels rares et alambics scellés;;467-X-23;468-I-23;III;9'250 couronnes;185 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
PAR-I-467-005;archives;Paraphe de routes;Cinq cités confédérées;Constat des propriétés contractuelles des treize lignes marchandes après la quatorzième régate;;467-XII-01;467-XII-01;I;0 couronne;50 couronnes;Enregistré, classé;registre_UBI_Contrats_archives.md
CO-II-468-003;archives;Contrat commercial;Ther-Félis ↔ Il-Irion;Vente de lingots d'argent gris, grenaille d'étain pur et plaques de cuivre rouge;;468-VI-15;468-VIII-22;II;10'450 couronnes;209 couronnes;Exécuté, soldé, classé;registre_UBI_Contrats_archives.md
